appid,name,description,price,release_date,developer,publisher,tags
1480360,NEKOPARA Vol. 4 - Theme Song,This DLC features the opening and ending theme songs to NEKOPARA Vol. 4 featuring the vocal talent of KOTOKO! Also contains instrumental version of the opening and ending themes.,₹ 480,"26 Nov, 2020",NEKO WORKs,Sekai Project,"Adventure, Casual, Indie"
1480370,Love Puzzle,"This is casual, intellectual, minimalist puzzle game. Control your square and find the way to pass the level. Gameplay is fun and relaxing.",₹ 85,"11 Dec, 2020",Romantic Room,Romantic Room,"Adventure, Casual, Indie, Simulation"
1480400,Ramses: Rise of Empire,"Return Egypt to its former glory and win the favor of the gods as you rebuild the ancient civilization from the ground up! From the first hut you build to the last palace you raise, you will turn a broke and barren land into a shining example to the nations!",₹ 259,"16 Dec, 2020",Platinum Games,Alawar Casual,"Adventure, Casual, Indie, Strategy"
1480410,Sentinel: Cursed Knight,"Sentinel: Cursed knight is a single player RPG which sets in the land of Kasweihn. You are a knight of the holy order to investigate what went wrong in the Kasweihn area. The game consists of many abilities, different equipment and a lore rich world to uncover.",₹ 250,"8 Apr, 2021",Sentinel Studios,Sentinel Studios,"Action, Adventure, Indie, RPG"
1480440,Desktop NEKO Girl,"This is a desktop nurturing kitten pet that can be placed anywhere on your computer desktop. You can customize your pet's name, take care of her diet and life, and interact with her to play games. According to your training, she will become better and better or may die.",₹ 219,"21 Jan, 2021",moon soul,moon soul,"Casual, Indie, Simulation"
1480470,Go! Birdie,"Go! Birdie is fast pace action game, where player has to collect all the fruits in maze-like maps while avoiding enemies. You can play solo or in local co-op with your friends – its easier to gather all fruits! Test your birdie-sense in bonus rounds!",₹ 199,"23 Dec, 2020",Prime Bit Games SA,Prime Bit Games SA,Casual
1480480,DesktopMMD3:Miss Fish,"Living and dancing lovely girl “Miss Fish” on your desktop! She will always be with you, even while playing game or browsing the web.",₹ 200,"21 Jan, 2021",DesktopMMD Team,DesktopMMD Team,"Action, Casual, Indie, RPG, Simulation"
1480500,Ghostrunner - Winter Pack,Il Pacchetto invernale Ghostrunner arricchirà il tuo inventario di oggetti estetici. Guanti e spada personalizzati per le festività ti doneranno una prospettiva nuova sul gioco. Acquista il Pacchetto invernale e ricevi i seguenti oggetti: - 1x katana Ondata di freddo - 1x guanti Sangue freddo,"1,99€",15 dic 2020,One More Level,505 Games,Azione
1480520,Faye/Sleepwalker,Faye/Sleepwalker is a vast world of exploration and hectic battles. Enjoy a high speed action game and the development of an interesting story in an open world.,₹ 399,"24 Jan, 2021",Phantomisland,PhantomIsland,Action
1480540,fiction.colors,"Endless subway rides, void probes, cosmic gardens and the fate of a planet, fiction.colors is a series of short atmospheric experiences to explore at leisure.",₹ 199,"23 Jan, 2021",Colorfiction,Colorfiction,"Adventure, Casual, Indie"
1480550,Guntastic Soundtrack,"Guntastic, the Original Soundtrack.",₹ 165,"5 Dec, 2020",Ludicrous Games,Ludicrous Games,
1480560,Lawn Mowing Simulator,"Experience the beauty and detail of mowing the Great British countryside in Lawn Mowing Simulator, the only simulator that allows you to ride an authentic and expansive roster of real-world licensed lawn mowers from prestigious manufacturers; Toro, SCAG and STIGA as you manage your business.","₹ 1,349","10 Aug, 2021",Skyhook Games,Curve Games,Simulation
1480570,Finding Alina,Alina was kidnapped! You must find her through this indie point-and-click game! Your best intel indicates that Alina is likely to be in this abandoned building. Navigate along the scenes to find clues and items that will let you overcome your obstacles.,₹ 42,"15 Dec, 2020",Ricardo,Ricardo,"Adventure, Casual, Indie"
1480600,Red Hands – 2-Player Game,"Attack! Retreat! Dodge! Be quick! Are you ready to play the reaction slappy game of your childhood?! If so, then try one of the best slap games: Red Hands – 2-Player Game. The game will make you smile with your friends and remind you of your childhood time. It's time for fun!",₹ 165,"29 Jan, 2021",Peaksel,Peaksel,"Action, Casual, Indie, Simulation"
1480630,Memory Maze,Memory Maze is a new maze game with an original concept. Designed for all types of players and all ages.,N/A,"19 Jan, 2021",Supernova Games,Supernova Games,Indie
1480650,A Very Bad Christmas Eve,Could you save Christmas if you are the only Elf Santa Claus can count on? Challenge yourself in the single-player action-adventure puzzle game A Very Bad Christmas Eve tailor-made for the VR platform.,₹ 199,"18 Dec, 2020",Incineration Productions,Incineration Productions,"Action, Adventure, Casual, Indie, Strategy"
1480690,Pangea,"Unique combination of turn-based strategy, tabletop game and roguelike. Make moves according to the roll of the dice on a randomly generated field and destroying enemies in tactical battles. Available 4 different factions.",₹ 259,"17 Nov, 2021",Andrew Bykov,Hommer Games,"Adventure, Indie, RPG, Strategy"
1480730,Whiteside,"&quot;Reality is which, when you stop believing in it, doesn't go away&quot; Whiteside is a first-person survival horror game. As an investigator of the Common European Asylum System, explore an island where they keep the mentally insane that are beyond help, uncover the truth, but don't believe everything.",N/A,Coming soon,Frosty Games Studios,Frosty Games Studios,"Action, Adventure, Indie"
1480740,Doomsday Room,A fictional geopolitical game set during a fictional Cold War.,₹ 529,"15 Jan, 2021",Doubleton Game Studio,Doubleton Game Studio,"Casual, Indie, Simulation, Strategy"
1480750,X-Plane 11 - Add-on: SAM FollowMe,Don't get lost on any airport by using SAM FollowMe service to guide you to your parking position.,₹ 880,"30 Nov, 2020",Stairport Sceneries,Aerosoft GmbH,Simulation
1480751,X-Plane 11 - Add-on: Aerosoft - Airport Alta,"The picturesque, at the Altjafjord located Alta Airport (ENAT, ALF) is part of one of the most sparsely populated and most remote areas of North-Norway.",₹ 810,"14 Dec, 2020",Jo Erlend Sund,Aerosoft GmbH,Simulation
1480760,X-Plane 11 - Add-on: Aerosoft - Airport Greater Moncton International,With their latest expansion Stairports Sceneries have created another beautiful airport scenery for X-Plane 11. This scenery depicts an extremely detailed recreation of Greater Moncton Roméo LeBlanc International Airport located 4 miles east northeast of downtown Moncton.,₹ 810,"3 Dec, 2020",Stairport Sceneries,Aerosoft GmbH,Simulation
1480780,Spirit Island - Original Soundtrack,Relax and enjoy the sounds of spirits of the island with the full soundtrack for Spirit Island!,₹ 480,"4 Dec, 2020",Handelabra Games Inc.,Handelabra Games Inc.,
1480810,Crimson Tactics: The Rise of The White Banner,"Crimson Tactics: The Rise of The White Banner brings you an epic adventure in the form of a turn-based tactical RPG. Set in a medieval high fantasy world, witness a massive political disruption through the lives of different characters and fight for the fate of Wendalle.",₹ 519,"5 Sep, 2023",Black March Studios,Black March Studios,"RPG, Strategy"
1480830,Evil Tonight,"Silvia isn't afraid of evil. Evil is her job. As a modern exorcist, Silvia has overcome countless horrors with her ability to materialize the evil of haunted places... But tonight... things don't go as planned... Fight, survive, explore, solve puzzles and uncover the mystery of... Evil Tonight!",₹ 690,"14 Oct, 2021",DYA Games,DYA Games,"Action, Adventure, Indie"
1480860,Tortuga,The goal is is to explore the island and collect all the fruits without dying. You have to be perfect and it' nearly impossible. You have to be precise and it's really difficult. You have to have a lot of patience and it's demanding. But definitely work hard.,₹ 199,"4 Jan, 2021",BazKreyol,Baz Kreyol Games ,"Adventure, Indie"
1480870,Lightning Fast,"Lightning Fast is a sandbox survival game. Playing as a leopard, the adventure starts from your tough childhood. You must struggle to turn yourself from a vulnerable cub into the dominator of Divach Plain, in order to survive the law of the jungle and encounter the challenge brought by the poachers.",₹ 760,"18 Jun, 2021",Steppe Games,Steppe Games,"Action, Adventure, Massively Multiplayer, RPG, Simulation, Early Access"
1480880,Fantasy Grounds - Pathfinder RPG - Pathfinder Bounty #4: Cat's Cradle,"Pathfinder RPG - Pathfinder Bounty #4: Cat's Cradle A Pathfinder Bounty designed for Level 1.On a recent trip across the trade routes of the Golden Road, a merchant was robbed and her beloved family heirloom--a puzzle box--stolen.",₹ 199,"30 Mar, 2021","SmiteWorks USA, LLC",,"Indie, RPG, Strategy"
1480910,Tomb of The Lost Sentry,"A 2D Puzzle/Platformer about escaping a cult. Pay close attention to your surroundings to spot deadly traps and solve puzzles. Face the Higher Ups to get their keys, and open new areas of the stronghold, all in the hopes of finding an exit.",N/A,"15 Nov, 2021",spleeN,spleeN,"Adventure, Indie"
1480930,Monkey Split,"You're now a monkey*, the room is full of stuff*, collect the stuff in the cardboard box while running away from the possessed monkey. EASY! Don't get caught!And if you're the one possessed, catch every monkey and explode them into the Bananaverse*.",N/A,"5 Mar, 2021",Nerd Monkeys,Nerd Monkeys,"Casual, Free To Play, Indie, Early Access"
1480960,Godsbane,Craft explosive combos of units and powers to use in head-to-head auto battler combat against players worldwide. Outplay your opponent with strategic maneuvers and watch the battle unfold on a tabletop arena.,N/A,"4 Mar, 2022",Project Hyperdrive,Project Hyperdrive,"Casual, Indie, Strategy, Free To Play"
1480970,Brandins Buttons,Challenge yourself with over 110 increasingly difficult logic puzzles in this classic button pressing game. Explore each one in Free Play Mode or attempt to solve them in Move Limit or Off Only modes. Random Mode lets you create custom puzzles of any size.,₹ 199,"10 Dec, 2020",Massive Corporation Game Studios,Massive Corporation Game Studios,Casual
1480990,Mother Hub,"Mother Hub is a retro FPS with an artistically gritty setting from the early 2000's, with a strong backbone of horror. Descend deep into an ancient vault and save humanity.",N/A,2025,S. ODale,ODale Studios,"Action, Adventure, Indie, RPG"
1481000,Triversal,Unwind with Triversal: An award-winning casual spatial puzzle game that mixes chill with challenge.,₹ 570,"13 Jul, 2021",Phantom Compass,Phantom Compass,"Casual, Indie"
1481020,Without my arms,Short but really challenging game about reaching the top of a tower by jumping exclusively with your TONGUE.,₹ 250,"30 Dec, 2020",Killerkun,Killerkun Games,"Action, Adventure, Casual"
1481070,Max Raider,"Max Raider is a top-down 3D action shooter where you fight waves of enemies on procedurally generated arenas. Rest and prepare for the next series of waves by buying a variety of weapons and items from your allies. Protect the Bunker, your only hope for a home.",₹ 125,"16 Dec, 2020",Kairoscope,Kairoscope,"Action, Indie"
1481080,DRAMAtical Murder,"Aoba's vibrant cyberpunk world is one of contrasts: high-tech virtual reality battles versus street gang turf wars, ultra-exclusive luxury resorts and tiny junk shops. The choices you make will shape the path of Aoba's journey into the dark secrets lurking beneath the glossy sheen of the city.",₹ 880,"6 Apr, 2021",Nitro+CHiRAL,JAST USA,Adventure
1481110,Insurgency: Sandstorm - Sasquatch Gear Set,Disappear into the forest with the Sasquatch Gear Set for the Security team. This set includes three different cosmetic gear pieces.,₹ 139,"8 Dec, 2020",New World Interactive,Focus Entertainment,Action
1481111,Insurgency: Sandstorm - Yeti Gear Set,Sink into the snow with the Yeti Gear Set for the Insurgency team. This set includes four different cosmetic gear pieces.,₹ 139,"8 Dec, 2020",New World Interactive,Focus Entertainment,Action
1481112,Insurgency: Sandstorm - Hunter Weapon Skin Set,Stalk your prey with the Hunter Weapon Skin Set. These skins can be applied to six different weapons.,₹ 139,"8 Dec, 2020",New World Interactive,Focus Entertainment,Action
1481113,Insurgency: Sandstorm - Whiteout Weapon Skin Set,Get arctic with the Whiteout Weapon Skin Set. These skins can be applied to six different weapons.,₹ 139,"8 Dec, 2020",New World Interactive,Focus Entertainment,Action
1481120,Re-Nullum,"Re-Nullum is a minimalist puzzle game about combining numbers. On each level, you must clear the board by connecting numbered tiles.",₹ 42,"15 Dec, 2020",Misc.261,Misc.261,"Casual, Indie, Strategy"
1481130,Legend Bowl Soundtrack,"Legend Bowl’s soundtrack brings together retro-gaming, chiptune nostalgia with fun and energetic funk. Included in this soundtrack are ten bespoke jingles created for different in-game scenarios.",₹ 165,"6 Dec, 2020",Level Ready,Level Ready,"Indie, Sports"
1481140,Lost Astronaut,"Control a spaceship and attempts to land safely on blue platforms. You can move the ship and burn fuel to fire a thruster, attempting to gently land on marked areas. A new scenario is loaded after every successful landing.",₹ 52,"11 Dec, 2020",Minicactus Games,Minicactus Games,"Casual, Indie, Simulation"
